Time,B5F
5/6/2024 11:00,0.0244
5/6/2024 12:00,0.0244
5/6/2024 13:00,0.0244
5/6/2024 14:00,
5/6/2024 15:00,
5/6/2024 16:00,57.1
5/6/2024 17:00,37.1
5/6/2024 18:00,5
5/6/2024 19:00,34
5/6/2024 20:00,41.5
5/6/2024 21:00,14.9
5/6/2024 22:00,50.4
5/6/2024 23:00,13.2
5/7/2024 0:00,9.3
5/7/2024 1:00,11.1
5/7/2024 2:00,7.46
5/7/2024 3:00,2.9
5/7/2024 4:00,10.1
5/7/2024 5:00,9.01
5/7/2024 6:00,17.7
5/7/2024 7:00,2.75
5/7/2024 8:00,3.95
5/7/2024 9:00,3.5
5/7/2024 10:00,9.95
5/7/2024 11:00,2.98
5/7/2024 12:00,3.3
5/7/2024 13:00,12.3
5/7/2024 14:00,5.91
5/7/2024 15:00,0.696
5/7/2024 16:00,10.1
5/7/2024 17:00,1.16
5/7/2024 18:00,1.61
5/7/2024 19:00,36.3
5/7/2024 20:00,28.3
5/7/2024 21:00,11.8
5/7/2024 22:00,43.4
5/7/2024 23:00,20.8
5/8/2024 0:00,10.4
5/8/2024 1:00,23.9
5/8/2024 2:00,16
5/8/2024 3:00,4.45
5/8/2024 4:00,14.8
5/8/2024 5:00,10.2
5/8/2024 6:00,13.4
5/8/2024 7:00,0.441
5/8/2024 8:00,4.77
5/8/2024 9:00,2.61
5/8/2024 10:00,6.16
5/8/2024 11:00,2.88
5/8/2024 12:00,1.75
5/8/2024 13:00,15.2
5/8/2024 14:00,0.749
5/8/2024 15:00,4.9
5/8/2024 16:00,16.3
5/8/2024 17:00,0.525
5/8/2024 18:00,9.48
5/8/2024 19:00,44.4
5/8/2024 20:00,35.5
5/8/2024 21:00,52.5
5/8/2024 22:00,46.2
5/8/2024 23:00,3.24
5/9/2024 0:00,24.6
5/9/2024 1:00,26.3
5/9/2024 2:00,3.42
5/9/2024 3:00,7.76
5/9/2024 4:00,6
5/9/2024 5:00,6.14
5/9/2024 6:00,5.99
5/9/2024 7:00,15.8
5/9/2024 8:00,22.1
5/9/2024 9:00,17.5
5/9/2024 10:00,1.61
5/9/2024 11:00,9.7
5/9/2024 12:00,22.9
5/9/2024 13:00,0.076
5/9/2024 14:00,2.44
5/9/2024 15:00,3.66
5/9/2024 16:00,0.156
5/9/2024 17:00,5.22
5/9/2024 18:00,1.62
5/9/2024 19:00,3.92
5/9/2024 20:00,2.48
5/9/2024 21:00,11.9
5/9/2024 22:00,13.7
5/9/2024 23:00,1.71
5/10/2024 0:00,2.09
5/10/2024 1:00,2.33
5/10/2024 2:00,4.96
5/10/2024 3:00,0.455
5/10/2024 4:00,0.589
5/10/2024 5:00,2.5
5/10/2024 6:00,28.3
5/10/2024 7:00,2.55
5/10/2024 8:00,7.71
5/10/2024 9:00,0.0547
5/10/2024 10:00,1.64
5/10/2024 11:00,4.85
5/10/2024 12:00,0.966
5/10/2024 13:00,0.284
5/10/2024 14:00,1.02
5/10/2024 15:00,3.81
5/10/2024 16:00,8.78
5/10/2024 17:00,0.734
5/10/2024 18:00,3.72
5/10/2024 19:00,16.1
5/10/2024 20:00,0.236
5/10/2024 21:00,0.68
5/10/2024 22:00,13.5
5/10/2024 23:00,6.98
5/11/2024 0:00,15.1
5/11/2024 1:00,15.4
5/11/2024 2:00,10.8
5/11/2024 3:00,13.4
5/11/2024 4:00,6.75
5/11/2024 5:00,3.38
5/11/2024 6:00,0.541
5/11/2024 7:00,0.294
5/11/2024 8:00,7.59
5/11/2024 9:00,0.595
5/11/2024 10:00,10.5
5/11/2024 11:00,0.0244
5/11/2024 12:00,0.0484
5/11/2024 13:00,9.8
5/11/2024 14:00,20.1
5/11/2024 15:00,0.868
5/11/2024 16:00,26.8
5/11/2024 17:00,9.36
5/11/2024 18:00,0.134
5/11/2024 19:00,20.9
5/11/2024 20:00,29.6
5/11/2024 21:00,1.85
5/11/2024 22:00,3.58
5/11/2024 23:00,15
5/12/2024 0:00,3.62
5/12/2024 1:00,0.866
5/12/2024 2:00,11
5/12/2024 3:00,1.62
5/12/2024 4:00,8.32
5/12/2024 5:00,2.17
5/12/2024 6:00,10.2
5/12/2024 7:00,9.24
5/12/2024 8:00,0.411
5/12/2024 9:00,1.53
5/12/2024 10:00,7.21
5/12/2024 11:00,5.02
5/12/2024 12:00,0.0244
5/12/2024 13:00,9.43
5/12/2024 14:00,1
5/12/2024 15:00,7.13
5/12/2024 16:00,21.5
5/12/2024 17:00,2.45
5/12/2024 18:00,1.9
5/12/2024 19:00,28.9
5/12/2024 20:00,6.04
5/12/2024 21:00,24.1
5/12/2024 22:00,13.6
5/12/2024 23:00,9.82
5/13/2024 0:00,15
5/13/2024 1:00,1.63
5/13/2024 2:00,3.16
5/13/2024 3:00,3.99
5/13/2024 4:00,3.22
5/13/2024 5:00,2.46
5/13/2024 6:00,0.649
5/13/2024 7:00,1.06
5/13/2024 8:00,0.336
5/13/2024 9:00,24.2
5/13/2024 10:00,8.44
5/13/2024 11:00,0.382
5/13/2024 12:00,3.42
5/13/2024 13:00,2.85
5/13/2024 14:00,2.83
5/13/2024 15:00,13.9
5/13/2024 16:00,14.6
5/13/2024 17:00,13.1
5/13/2024 18:00,3.51
5/13/2024 19:00,25.2
5/13/2024 20:00,36.3
5/13/2024 21:00,12.8
5/13/2024 22:00,8.06
5/13/2024 23:00,26.4
5/14/2024 0:00,0.13
5/14/2024 1:00,20.9
5/14/2024 2:00,0.532
5/14/2024 3:00,0.522
5/14/2024 4:00,13.4
5/14/2024 5:00,16.5
5/14/2024 6:00,0.176
5/14/2024 7:00,0.0244
5/14/2024 8:00,16.1
5/14/2024 9:00,0.0742
5/14/2024 10:00,1.67
5/14/2024 11:00,0.437
5/14/2024 12:00,25.3
5/14/2024 13:00,0.0841
5/14/2024 14:00,0.454
5/14/2024 15:00,0.511
5/14/2024 16:00,21
5/14/2024 17:00,20.8
5/14/2024 18:00,9.71
5/14/2024 19:00,37.7
5/14/2024 20:00,35.7
5/14/2024 21:00,29.2
5/14/2024 22:00,11.4
5/14/2024 23:00,36.5
5/15/2024 0:00,31.7
5/15/2024 1:00,1.59
5/15/2024 2:00,0.0244
5/15/2024 3:00,20.5
5/15/2024 4:00,0.0244
5/15/2024 5:00,2.88
5/15/2024 6:00,15.6
5/15/2024 7:00,0.0244
5/15/2024 8:00,0.428
5/15/2024 9:00,0.743
5/15/2024 10:00,17.7
5/15/2024 11:00,0.325
5/15/2024 12:00,1.55
5/15/2024 13:00,0.0359
5/15/2024 14:00,16
5/15/2024 15:00,0.253
5/15/2024 16:00,4.5
5/15/2024 17:00,28.9
5/15/2024 18:00,7.74
5/15/2024 19:00,54
5/15/2024 20:00,37.9
5/15/2024 21:00,33.4
5/15/2024 22:00,15.2
5/15/2024 23:00,16.8
5/16/2024 0:00,0.233
5/16/2024 1:00,1.62
5/16/2024 2:00,8.11
5/16/2024 3:00,30.3
5/16/2024 4:00,2.05
5/16/2024 5:00,25.6
5/16/2024 6:00,1.59
5/16/2024 7:00,0.191
5/16/2024 8:00,11.9
5/16/2024 9:00,5.53
5/16/2024 10:00,0.753
5/16/2024 11:00,1.4
5/16/2024 12:00,2.12
5/16/2024 13:00,0.441
5/16/2024 14:00,20.5
5/16/2024 15:00,0.442
5/16/2024 16:00,1.06
5/16/2024 17:00,25.2
5/16/2024 18:00,3.63
5/16/2024 19:00,46.9
5/16/2024 20:00,47.8
5/16/2024 21:00,12.4
5/16/2024 22:00,18.4
5/16/2024 23:00,14.6
5/17/2024 0:00,0.722
5/17/2024 1:00,26.8
5/17/2024 2:00,21.4
5/17/2024 3:00,0.497
5/17/2024 4:00,14.8
5/17/2024 5:00,4.97
5/17/2024 6:00,0.198
5/17/2024 7:00,26.4
5/17/2024 8:00,1.88
5/17/2024 9:00,0.672
5/17/2024 10:00,0.533
5/17/2024 11:00,9.54
5/17/2024 12:00,0.514
5/17/2024 13:00,0.0686
5/17/2024 14:00,11.9
5/17/2024 15:00,7.48
5/17/2024 16:00,1.34
5/17/2024 17:00,0.426
