Time,PRE_CE8_FED001_061621_concat_00.CSV,PRE_CE8_FED002_061621_00.CSV,PRE_CE8_FED003_061621_00.CSV,PRE_CE8_FED005_061621_00.CSV,PRE_CE8_FED006_061621_01.CSV,PRE_CE8_FED009_061621_00.CSV,PRE_CE8a_FED001_090321_concat_00.CSV,PRE_CE8a_FED002_090321_concat_00.CSV,PRE_CE8a_FED003_090321_01.CSV,PRE_CE8a_FED004_090321_00.CSV,PRE_CE8a_FED005_090321_concat_00.CSV,PRE_CE8a_FED006_090321_02.CSV,POST_CE8_FED001_060921_00.CSV,POST_CE8_FED002_060921_concat_00.CSV,POST_CE8_FED003_060921_concat_00.CSV,POST_CE8_FED005_060921_concat_00.CSV,POST_CE8_FED006_060921_01.CSV,POST_CE8_FED009_060921_00.CSV,POST_CE8a_FED001_082621_01.CSV,POST_CE8a_FED002_082621_03.CSV,POST_CE8a_FED003_082621_05.CSV,POST_CE8a_FED004_082621_01.CSV,POST_CE8a_FED005_082621_01.CSV,POST_CE8a_FED006_082621_01.CSV
1,27,22,104,79,75,56,174,6,,0,9,5,70,76,62,26,57,171,18,9,10,10,83,6
2,255,74,195,183,202,295,111,227,26,173,165,201,107,46,123,76,102,267,20,19,31,18,200,8
3,400,188,310,198,648,232,47,199,92,451,117,40,173,113,206,117,331,524,84,44,3,21,285,54
4,124,109,51,62,221,162,32,199,200,429,230,155,106,106,259,68,236,205,93,54,38,76,112,65
5,40,34,69,77,108,39,77,101,162,458,112,299,97,31,177,95,71,178,70,50,145,116,154,17
6,116,41,107,76,45,114,18,160,146,196,85,327,141,100,92,104,122,215,78,59,139,47,239,54
7,39,24,78,159,91,75,8,171,23,162,144,253,202,30,25,50,79,68,136,126,153,63,186,77
8,50,70,63,57,40,62,2,190,41,353,140,174,52,96,162,44,124,49,172,225,111,167,173,109
9,24,55,44,18,0,87,40,143,84,135,75,194,192,64,114,27,59,391,181,52,82,331,103,81
10,55,42,142,22,40,79,43,280,57,212,30,18,47,63,31,76,67,97,127,75,144,27,21,59
11,106,59,62,22,107,129,4,37,9,91,69,127,79,109,44,71,186,163,127,114,68,24,2,31
12,45,50,62,13,67,40,5,202,87,200,81,37,34,92,146,38,89,134,93,62,198,149,121,41
13,104,33,11,61,41,67,14,18,25,234,97,124,90,78,81,43,24,56,70,130,80,45,50,69
14,46,13,25,40,0,80,1,63,28,228,63,180,57,41,32,42,38,119,117,49,75,89,24,87
15,18,6,0,9,10,13,6,0,10,35,108,62,62,48,78,46,76,24,52,58,7,24,74,9
16,17,9,0,13,0,9,58,126,11,13,100,77,22,35,10,14,1,13,130,62,21,35,49,92
17,9,18,0,13,4,26,18,18,15,112,97,116,35,41,53,53,13,70,95,24,10,22,50,39
18,5,19,0,18,0,28,59,44,9,29,148,97,13,15,18,9,15,16,105,33,22,31,9,29
19,20,0,0,12,24,6,18,40,9,20,72,51,8,9,57,35,20,30,32,45,33,0,71,20
20,9,4,32,1,9,13,6,18,4,27,123,0,12,48,9,17,3,85,68,24,39,14,45,11
21,4,10,18,17,0,14,21,30,5,7,125,35,13,18,4,13,34,47,49,24,18,13,31,16
22,18,0,22,22,13,9,86,74,20,14,187,30,26,16,33,27,47,109,10,29,24,9,37,0
23,13,9,109,11,26,4,185,97,17,20,170,32,18,23,116,101,49,294,23,18,17,15,41,9
24,26,13,36,30,45,18,70,130,1,62,179,24,55,33,100,41,117,78,64,38,28,37,46,13
25,59,21,84,76,79,36,78,85,17,3,100,46,60,59,165,76,307,231,49,31,16,35,78,24
26,144,25,205,191,132,32,534,142,45,50,113,31,39,104,101,155,217,429,43,38,57,5,116,18
27,227,74,254,119,196,25,116,80,114,124,115,143,118,105,197,73,161,401,123,36,75,33,56,40
28,90,54,59,72,188,10,112,93,146,341,87,179,111,76,117,220,165,73,111,42,117,47,95,73
29,115,49,168,42,43,16,83,85,181,76,118,172,71,103,0,84,130,108,122,54,155,105,121,19
30,82,34,98,39,0,13,171,80,161,126,122,226,70,60,0,108,27,292,116,84,123,136,118,58
31,53,19,91,35,24,18,101,222,70,260,76,104,45,95,107,107,215,127,159,97,104,163,101,55
32,77,18,66,24,31,25,115,190,55,133,36,155,53,65,188,64,131,133,188,95,161,261,82,45
33,19,6,31,38,31,3,70,103,31,28,94,46,28,41,52,50,62,98,161,52,96,221,56,99
34,34,15,59,56,26,19,24,81,31,47,21,66,40,95,139,40,45,251,55,74,55,177,64,44
35,90,9,117,50,24,25,64,107,110,56,68,85,27,20,52,72,75,99,25,87,56,115,70,95
36,24,11,63,18,40,7,19,50,92,51,39,31,43,86,138,95,61,89,187,77,93,113,53,12
37,50,22,40,25,48,2,19,56,150,27,67,79,42,59,18,65,114,187,70,151,108,250,67,62
38,62,27,26,46,0,12,22,185,77,56,129,48,32,26,90,43,2,60,163,42,62,163,57,62
39,38,13,36,42,18,19,16,111,19,83,69,119,0,48,31,21,65,107,47,21,75,57,70,29
40,60,6,62,18,4,13,75,76,17,24,113,18,13,61,49,26,31,193,117,2,50,54,50,36
41,16,0,32,9,13,8,18,183,24,27,120,95,14,22,30,18,14,47,119,48,30,41,25,21
42,21,4,53,9,2,14,18,123,25,24,68,51,13,72,10,17,24,50,40,24,23,40,80,25
43,24,10,55,18,11,8,10,73,13,24,131,36,12,31,38,17,4,31,50,60,10,4,50,16
44,27,9,36,2,2,0,126,103,25,13,39,45,13,22,18,22,11,32,42,2,24,24,47,17
45,35,1,26,9,6,9,47,20,2,13,161,47,6,36,14,24,43,48,41,29,9,40,73,4
46,13,15,57,18,31,13,219,167,22,21,42,141,10,21,31,5,54,38,53,55,19,98,38,16
47,47,24,41,6,44,9,237,66,13,40,37,157,5,46,75,40,43,114,63,71,13,59,100,12
48,50,18,53,51,40,40,204,46,19,18,126,201,11,16,61,60,85,24,80,58,18,113,43,32
49,98,24,68,40,31,31,75,168,9,31,19,74,22,45,50,77,49,108,170,26,34,29,98,18
50,191,70,243,35,62,39,100,113,10,13,43,170,17,56,102,81,136,203,62,24,2,47,29,0
51,273,58,131,57,66,60,190,98,36,189,61,108,95,60,121,114,174,98,65,48,24,31,135,23
52,98,53,123,24,30,69,45,167,85,390,101,175,97,63,77,116,98,103,81,56,39,160,86,10
53,0,8,61,26,26,64,54,92,143,90,116,162,85,56,102,67,117,198,96,73,41,294,93,19
54,2,14,124,32,35,79,73,96,31,194,86,83,38,57,62,109,102,67,106,65,62,201,94,31
55,39,18,95,24,54,63,134,138,86,176,97,247,81,54,120,37,60,104,126,116,77,230,55,44
56,40,44,53,13,8,56,57,121,19,209,57,27,40,48,80,46,72,75,172,130,155,231,129,76
57,24,45,75,12,18,62,24,237,9,8,115,108,27,19,28,99,59,37,44,131,74,122,87,65
58,27,67,72,19,0,36,13,76,40,52,51,136,31,50,43,29,85,40,14,122,107,160,110,47
59,37,62,87,9,18,19,157,168,17,14,123,127,19,45,66,21,60,91,161,85,37,292,109,28
60,28,19,101,14,18,19,61,66,35,71,62,93,40,65,95,47,23,103,68,113,33,44,98,65
61,20,19,50,12,0,36,123,162,8,83,46,81,24,61,35,10,27,81,103,165,31,99,45,42
62,22,40,95,23,20,32,199,90,23,16,39,66,13,62,73,19,50,75,92,90,65,223,67,42
63,28,3,33,28,0,1,207,84,1,16,87,79,13,34,39,30,31,48,107,87,13,113,115,1
64,12,21,44,18,4,16,101,62,10,41,51,83,6,0,48,13,32,62,118,75,24,222,70,25
65,27,2,50,9,0,15,19,65,6,30,74,117,6,25,74,22,19,39,18,103,8,89,77,14
66,18,9,10,6,6,5,0,75,4,24,75,102,1,27,49,19,2,18,199,73,23,181,60,13
67,16,29,44,10,0,7,0,3,18,18,20,61,7,38,89,12,47,32,121,104,26,19,43,14
68,6,9,46,13,13,13,90,31,9,2,39,86,1,26,40,9,19,49,76,60,16,43,41,14
69,0,4,24,7,0,7,229,76,4,6,44,73,3,13,47,4,6,18,128,66,3,34,93,13
70,0,1,20,24,18,17,108,31,7,25,157,81,5,42,37,37,64,39,106,99,24,47,62,16
71,0,9,36,0,24,31,293,31,11,11,152,77,6,24,13,14,25,4,74,116,9,42,22,29
72,0,41,89,31,25,24,244,96,24,19,143,72,24,103,122,60,65,133,123,171,29,20,88,13
