Variable,F_Halo1_V1_FED001_050423_00.CSV,F_Halo1_V1_FED002_050423_00.CSV,F_Halo1_V1_FED003_050323_00.CSV,F_Halo1_V1_FED004_050323_00.CSV,F_Halo2_V1_FED001_011824_00.CSV,F_Halo2_V1_FED002_011724_00.CSV,F_Halo3_V1_FED006_020824_00.CSV,F_Halo3_V1_FED007_020724_00.CSV,F_Halo3_V1_FED008_020824_00.CSV,F_Halo3_V1_FED009_020724_00.CSV,F_Halo3_V1_FED010_020824_00.CSV,F_Halo1_H1_FED001_050323_00.CSV,F_Halo1_H1_FED002_050323_00.CSV,F_Halo1_H1_FED003_050423_00.CSV,F_Halo1_H1_FED004_050423_00.CSV,F_Halo2_H1_FED001_011724_00.CSV,F_Halo2_H1_FED002_011824_00.CSV,F_Halo3_H1_FED006_020724_00.csv,F_Halo3_H1_FED007_020824_00.CSV,F_Halo3_H1_FED008_020724_00.CSV,F_Halo3_H1_FED009_020824_00.CSV,F_Halo3_H1_FED010_020724_00.CSV,Average,STD
Pellets Taken,148.0,133.0,159.0,165.0,133.0,123.0,110.0,151.0,148.0,96.0,149.0,99.0,208.0,130.0,109.0,141.0,118.0,157.0,158.0,183.0,141.0,145.0,141.0909090909091,26.593785688191087
Pellets Taken (Night),66.0,45.0,77.0,79.0,74.0,76.0,34.0,57.0,67.0,54.0,90.0,29.0,111.0,84.0,51.0,82.0,70.0,74.0,97.0,81.0,69.0,80.0,70.31818181818181,19.49453247802564
Pellets Taken (Day),82.0,88.0,82.0,86.0,59.0,47.0,76.0,94.0,81.0,42.0,59.0,70.0,97.0,46.0,58.0,59.0,48.0,83.0,61.0,102.0,72.0,65.0,70.77272727272727,17.593104217769984
Pellets per Hour,6.2374151252634045,5.622489959839357,6.588170297986948,6.852317559928939,5.373013735523835,5.4045477291867545,4.941352632892438,5.987113827853956,6.54923604538247,3.791136463361123,6.664761502429084,4.11096372339812,8.75912408759124,5.418799064446657,4.5961932650073205,6.188130882137807,4.81889442219777,6.235519957635533,7.205107417916498,7.267031415460642,6.280856750436171,5.796135909393738,5.940377807966809,1.130485436576239
Pellets per Hour (Night),5.549716207693924,3.78522360857984,6.303008253939381,6.571316342799047,6.076365129328042,6.05644714997233,2.892933112739305,4.692645444566411,5.596936999651932,4.393220338983051,7.3301509015633135,2.4801634437211955,9.050142682429678,7.034521261747464,4.301780693533271,7.228738643876877,5.880842920818651,6.373205741626794,7.727715322652032,6.756099256273025,5.854486318320017,6.864497676081516,5.854552611404412,1.5823679866232654
Pellets per Hour (Day),6.928438988898537,7.478753541076488,6.8804773447697185,7.132490151358075,4.691848906560636,4.603330068560235,7.232355273592387,7.189750780801836,7.621935281509749,3.2231933489661055,5.854142550024806,5.650097531445484,8.448250834663957,3.817603393425239,4.890502400749503,5.156466218348669,3.8144011301929273,6.1176855984603415,6.505510131532172,7.731340141067482,6.752110034385745,4.864359214218896,6.026592857482227,1.4601134589496534
Number of Meals,48.0,82.0,70.0,80.0,49.0,72.0,63.0,57.0,79.0,81.0,50.0,43.0,121.0,58.0,78.0,57.0,64.0,82.0,58.0,95.0,116.0,48.0,70.5,20.980149348054383
Number of Meals (Night),27.0,37.0,39.0,40.0,30.0,46.0,27.0,34.0,41.0,47.0,38.0,15.0,74.0,40.0,38.0,36.0,41.0,46.0,43.0,37.0,61.0,31.0,39.45454545454545,11.843130509275843
Number of Meals (Day),21.0,45.0,31.0,40.0,19.0,26.0,36.0,23.0,38.0,34.0,12.0,28.0,47.0,18.0,40.0,21.0,23.0,36.0,15.0,58.0,55.0,17.0,31.045454545454547,12.937495425266356
Average Pellets per Meal,3.0625,1.6097560975609757,2.257142857142857,2.05,2.693877551020408,1.6944444444444444,1.7301587301587302,2.6315789473684212,1.860759493670886,1.1728395061728396,2.96,2.2790697674418605,1.7107438016528926,2.2241379310344827,1.3846153846153846,2.456140350877193,1.828125,1.9024390243902438,2.706896551724138,1.9157894736842105,1.206896551724138,3.0,2.106268702940187,0.5667999833017069
Average Pellets per Meal (Night),2.4444444444444446,1.2162162162162162,1.9743589743589745,1.975,2.466666666666667,1.6521739130434783,1.2592592592592593,1.6764705882352942,1.6341463414634145,1.148936170212766,2.3684210526315788,1.9333333333333333,1.5,2.1,1.3421052631578947,2.2777777777777777,1.7073170731707317,1.608695652173913,2.255813953488372,2.189189189189189,1.1147540983606556,2.5806451612903225,1.8375329603851944,0.4605227486118479
Average Pellets per Meal (Day),3.857142857142857,1.9333333333333333,2.6129032258064515,2.125,3.0526315789473686,1.7692307692307692,2.0833333333333335,4.043478260869565,2.1052631578947367,1.2058823529411764,4.833333333333333,2.4642857142857144,2.0425531914893615,2.5,1.425,2.761904761904762,2.0434782608695654,2.2777777777777777,4.0,1.7413793103448276,1.309090909090909,3.764705882352941,2.5432594550431267,0.9875730496229348
% Pellets within Meals,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
% Pellets within Meals (Night),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
% Pellets within Meals (Day),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Total Pokes,657.0,3104.0,1297.0,1600.0,871.0,808.0,1912.0,1792.0,2598.0,2034.0,956.0,403.0,1939.0,717.0,2132.0,566.0,477.0,812.0,782.0,2085.0,1312.0,660.0,1341.5454545454545,759.0117463971366
Total Pokes (Night),427.0,1909.0,781.0,879.0,739.0,697.0,1387.0,1474.0,1418.0,1090.0,784.0,156.0,1249.0,456.0,1123.0,430.0,350.0,581.0,610.0,733.0,675.0,482.0,837.7272727272727,436.84226005866253
Total Pokes (Day),229.0,1194.0,515.0,720.0,131.0,110.0,524.0,317.0,1179.0,943.0,171.0,246.0,689.0,260.0,1008.0,135.0,126.0,231.0,171.0,1351.0,636.0,177.0,502.8636363636364,402.84751876686965
Correct Pokes (%),0.0075951293759512935,0.009809922680412371,0.008388589051657671,0.00969375,0.009437428243398393,0.009628712871287129,0.009822175732217574,0.009402901785714285,0.009826789838337182,0.009818092428711898,0.009466527196652719,0.008337468982630273,0.009840123775141825,0.008800557880055787,0.009817073170731707,0.009363957597173145,0.009371069182389937,0.009679802955665024,0.00962915601023018,0.00981294964028777,0.009839939024390244,0.009681818181818182,0.009411997072947938,0.0005998965252928527
Correct Pokes (%) (Night),66.27634660421545,97.22367731796753,80.92189500640204,94.99431171786121,94.99323410013531,96.987087517934,97.76496034607065,93.2157394843962,97.46121297602257,97.88990825688073,95.28061224489795,71.7948717948718,98.63891112890312,90.78947368421053,96.79430097951915,94.18604651162791,94.57142857142857,96.72977624784855,96.72131147540983,96.31650750341065,97.48148148148148,97.30290456431536,92.92436361435504,8.606012556854697
Correct Pokes (%) (Day),94.75982532751091,99.74874371859298,88.93203883495146,99.72222222222223,93.12977099236642,94.54545454545455,100.0,98.73817034700315,99.49109414758269,98.93955461293743,93.56725146198829,91.46341463414635,98.4034833091437,84.23076923076923,100.0,94.07407407407408,93.65079365079364,97.83549783549783,96.49122807017544,99.3338267949667,99.68553459119497,96.61016949152543,96.06149626785896,4.132897800884665
Recording Duration (Hours),23.727777777777778,23.655,24.134166666666665,24.079444444444444,24.753333333333334,22.75861111111111,22.261111111111113,25.220833333333335,22.598055555555554,25.322222222222223,22.35638888888889,24.081944444444446,23.746666666666666,23.990555555555556,23.71527777777778,22.785555555555554,24.486944444444443,25.178333333333335,21.92888888888889,25.182222222222222,22.449166666666667,25.016666666666666,23.79223484848485,1.0841727058832429
Battery Change (V),-0.05999999999999961,-0.04999999999999982,-0.08999999999999986,-0.040000000000000036,-0.05000000000000071,-0.03999999999999959,-0.040000000000000036,-0.019999999999999574,-0.04999999999999982,-0.04999999999999982,-0.010000000000000231,-0.04999999999999982,-0.0600000000000005,-0.040000000000000036,-0.04999999999999982,-0.05999999999999961,-0.03000000000000025,-0.040000000000000036,-0.009999999999999787,-0.05999999999999961,-0.03999999999999959,-0.029999999999999805,-0.044090909090909,0.01790426682561366
Battery Rate (V/hour),-0.0025286818075392014,-0.0021137180300147885,-0.003729152998860531,-0.0016611678933161078,-0.002019929975760869,-0.0017575764972964877,-0.001796855502869979,-0.0007929952089872621,-0.002212579745061637,-0.0019745502413339115,-0.00044729942969323744,-0.0020762443047465176,-0.0025266704098821095,-0.0016673227890605113,-0.00210834553440702,-0.0026332471838884115,-0.0012251426497113076,-0.0015886675051300734,-0.00045601945683014836,-0.002382633250970687,-0.0017818033334570515,-0.0011992005329780069,-0.0018490820128089025,0.0007465963915691541
Motor Turns (Mean),1.3108108108108107,1.368421052631579,1.3270440251572326,1.7878787878787878,1.3157894736842106,2.0,1.8636363636363635,1.8609271523178808,1.1824324324324325,2.1770833333333335,1.4026845637583893,1.404040404040404,1.6586538461538463,1.1384615384615384,1.5871559633027523,1.4539007092198581,1.8305084745762712,1.585987261146497,2.0253164556962027,1.169398907103825,2.3191489361702127,1.4551724137931035,1.6011114956957058,0.3384755507518255
Motor Turns (Median),1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.3636363636363635,0.49236596391733095
Motor Turns Above 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
